         Cal_age(BP)     Mean rate(mm/yr)   95%CI_lower(mm/yr)   95%CI_upper(mm/yr) 
                 425            -0.551463             -2.44315              1.30662 
                 400            -0.541941             -2.34116              1.38239 
                 375            -0.540931             -2.29117              1.57588 
                 350            -0.533863               -2.218              1.41227 
                 325            -0.591761             -2.24422              1.33993 
                 300            -0.511674              -2.2901              1.61832 
                 275            -0.507548             -2.18192               1.5297 
                 250             -0.51963             -2.33377              1.57288 
                 225            -0.547487             -2.27852              1.52719 
                 200            -0.534502             -2.13883              1.32853 
                 175            -0.502984             -2.29111              1.31492 
                 150            -0.489455             -2.26663              1.38037 
                 125            -0.544597                -2.31              1.37171 
                 100            -0.559909             -2.30714              1.28139 
                  75            -0.567608             -2.27804              1.36635 
                  50            -0.598585             -2.16068               1.2089 
                  25            -0.465149             -2.35886              1.44004 
                   0            -0.525008             -2.48855              1.67178 
